,Lat,Long,Wind Farm Capacity [kW],Turbine name,Turbine Capacity [kW],Hub height [m],Rotor radius [m],Date from,Date to,Bidding zone
0,52.715111,4.251,100000.0,Siemens SWT 4.0 130,4000,80,65.0,2019-01-01,2020-01-01,NL
1,52.715111,4.251,100000.0,Vestas V164 8000,8000,140,82.0,2019-01-01,2020-01-01,NL
2,52.715111,4.251,100000.0,Enercon E126 6500,6500,135,63.0,2019-01-01,2020-01-01,NL
3,51.70278,3.07611,100000.0,Siemens SWT 4.0 130,4000,80,65.0,2019-01-01,2020-01-01,NL
4,51.70278,3.07611,100000.0,Vestas V164 8000,8000,140,82.0,2019-01-01,2020-01-01,NL
5,51.70278,3.07611,100000.0,Enercon E126 6500,6500,135,63.0,2019-01-01,2020-01-01,NL
6,52.36666694,4.11666694,100000.0,Siemens SWT 4.0 130,4000,80,65.0,2019-01-01,2020-01-01,NL
7,52.36666694,4.11666694,100000.0,Vestas V164 8000,8000,140,82.0,2019-01-01,2020-01-01,NL
8,52.36666694,4.11666694,100000.0,Enercon E126 6500,6500,135,63.0,2019-01-01,2020-01-01,NL
9,54.036,5.963,100000.0,Siemens SWT 4.0 130,4000,80,65.0,2019-01-01,2020-01-01,NL
10,54.036,5.963,100000.0,Vestas V164 8000,8000,140,82.0,2019-01-01,2020-01-01,NL
11,54.036,5.963,100000.0,Enercon E126 6500,6500,135,63.0,2019-01-01,2020-01-01,NL
12,54.05,7.03,100000.0,Siemens SWT 4.0 130,4000,80,65.0,2019-01-01,2020-01-01,DE_LU
13,54.05,7.03,100000.0,Vestas V164 8000,8000,140,82.0,2019-01-01,2020-01-01,DE_LU
14,54.05,7.03,100000.0,Enercon E126 6500,6500,135,63.0,2019-01-01,2020-01-01,DE_LU
15,54.667,6.167,100000.0,Siemens SWT 4.0 130,4000,80,65.0,2019-01-01,2020-01-01,DE_LU
16,54.667,6.167,100000.0,Vestas V164 8000,8000,140,82.0,2019-01-01,2020-01-01,DE_LU
17,54.667,6.167,100000.0,Enercon E126 6500,6500,135,63.0,2019-01-01,2020-01-01,DE_LU
18,55.69694,7.66917,100000.0,Siemens SWT 4.0 130,4000,80,65.0,2019-01-01,2020-01-01,DK_1
19,55.69694,7.66917,100000.0,Vestas V164 8000,8000,140,82.0,2019-01-01,2020-01-01,DK_1
20,55.69694,7.66917,100000.0,Enercon E126 6500,6500,135,63.0,2019-01-01,2020-01-01,DK_1
21,56.6,11.21,100000.0,Siemens SWT 4.0 130,4000,80,65.0,2019-01-01,2020-01-01,DK_1
22,56.6,11.21,100000.0,Vestas V164 8000,8000,140,82.0,2019-01-01,2020-01-01,DK_1
23,56.6,11.21,100000.0,Enercon E126 6500,6500,135,63.0,2019-01-01,2020-01-01,DK_1
24,55.06278,13.00472,100000.0,Siemens SWT 4.0 130,4000,80,65.0,2019-01-01,2020-01-01,DK_2
25,55.06278,13.00472,100000.0,Vestas V164 8000,8000,140,82.0,2019-01-01,2020-01-01,DK_2
26,55.06278,13.00472,100000.0,Enercon E126 6500,6500,135,63.0,2019-01-01,2020-01-01,DK_2
27,54.824806,13.861694,100000.0,Siemens SWT 4.0 130,4000,80,65.0,2019-01-01,2020-01-01,DE_LU
28,54.824806,13.861694,100000.0,Vestas V164 8000,8000,140,82.0,2019-01-01,2020-01-01,DE_LU
29,54.824806,13.861694,100000.0,Enercon E126 6500,6500,135,63.0,2019-01-01,2020-01-01,DE_LU
